layer,analysis,dependent_variable,core_variable,sample_group,observations,firms,coefficient,coefficient_scaled_millions,standard_error,t_statistic,p_value,significance,covariance,covariance_label,ci_lower,ci_upper,within_r_squared
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Big Four,593,155,-27533040.138842836,-27.533040138842836,16542640.350080622,-1.6643679337868607,0.09678297032312289,*,robust,heteroskedastic robust,-60049498.70983204,4983418.432146374,0.07989829128428305
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Non-Big Four,11936,2789,5682591.732813521,5.682591732813521,1811822.8872964324,3.1363947175283653,0.0017158216676547156,***,robust,heteroskedastic robust,2131013.295421355,9234170.170205688,0.04706317502739599
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Big Four,593,155,-0.002740674276511705,,0.004740571574824752,-0.5781316099236454,0.5634843726947434,,robust,heteroskedastic robust,-0.012058811886560567,0.006577463333537158,0.019018949427867526
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Non-Big Four,11936,2789,-0.002003879278458979,,0.0011015632905141321,-1.8191231459099453,0.06892538534985149,*,robust,heteroskedastic robust,-0.004163189913865841,0.00015543135694788286,0.0002320726465344647
reproduced_sensitivity,Fixed age bands,AEM_w,MidAge,Full sample,12529,2944,35959838.54521637,35.959838545216364,22383840.96420748,1.60650884728485,0.10819515469024044,,robust,heteroskedastic robust,-7917234.656538397,79836911.74697113,0.049798244102865596
reproduced_sensitivity,Fixed age bands,AEM_w,OldAge,Full sample,12529,2944,79348939.98690878,79.34893998690877,27398254.368978016,2.896131224942291,0.0037865021011689315,***,robust,heteroskedastic robust,25642553.559743196,133055326.41407436,0.049798244102865596
reproduced_sensitivity,Fixed age bands,REM_w,MidAge,Full sample,12529,2944,-0.021696002823835263,,0.007467678799903414,-2.905320837328445,0.0036771753309117194,***,robust,heteroskedastic robust,-0.036334236265293925,-0.007057769382376603,0.004874425156595974
reproduced_sensitivity,Fixed age bands,REM_w,OldAge,Full sample,12529,2944,-0.026285947670895298,,0.009416983479180649,-2.791334160138336,0.0052595306670522035,***,robust,heteroskedastic robust,-0.044745231496063145,-0.007826663845727454,0.004874425156595974
reproduced_sensitivity,Baseline,AEM_w,CEO_age_w,Full sample,12529,2944,4727401.704767835,4.727401704767836,2244494.07802534,2.106221509359876,0.03521109257157584,**,cluster_firm,firm clustered,327717.58364017215,9127085.8258955,0.047993166308007984
reproduced_sensitivity,Baseline,REM,CEO_age_w,Full sample,12529,2944,-0.0020135102360512957,,0.0011728468020997783,-1.7167717322044582,0.08605325251530926,*,cluster_firm,firm clustered,-0.0043125385570587415,0.00028551808495615,0.00022702339909974611
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Young CEO,5749,1820,7112523.683835314,7.112523683835314,5173923.113991887,1.3746867758047758,0.16930730688686246,,cluster_firm,firm clustered,-3031317.7453385675,17256365.113009196,0.03335581689719069
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Senior CEO,6780,1924,13187270.380944721,13.187270380944721,8909869.567399515,1.4800744591364017,0.13891847623995623,,cluster_firm,firm clustered,-4280122.126500882,30654662.888390325,0.020274177715243757
reproduced_sensitivity,Median split,REM,CEO_age_w,Young CEO,5749,1820,-0.0020902657097639434,,0.002837123832227866,-0.7367551905982728,0.4613154173063274,,cluster_firm,firm clustered,-0.0076526472208500625,0.003472115801322176,0.004669239297651617
reproduced_sensitivity,Median split,REM,CEO_age_w,Senior CEO,6780,1924,-0.000793208988987227,,0.0032630642543335754,-0.24308714973472878,0.8079481890330362,,cluster_firm,firm clustered,-0.007190297484649168,0.0056038795066747134,0.0024429319944487826
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,Non-SOE,11093,2460,4889577.17444976,4.88957717444976,2452167.250834737,1.9939819246771644,0.04618549479484635,**,cluster_firm,firm clustered,82742.42233768012,9696411.92656184,0.05187098569738613
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,SOE,1436,484,5311495.696258628,5.3114956962586275,5869151.825972776,0.904985226784158,0.36570633990757107,,cluster_firm,firm clustered,-6206740.614200021,16829732.006717276,0.025128078013198274
reproduced_sensitivity,Ownership,REM,CEO_age_w,Non-SOE,11093,2460,-0.002298213674176366,,0.0013344135540432843,-1.7222649359434032,0.08505742424111484,*,cluster_firm,firm clustered,-0.0049139836397369,0.00031755629138416775,-7.868394812193813e-05
reproduced_sensitivity,Ownership,REM,CEO_age_w,SOE,1436,484,-0.0010465614375762184,,0.0014564200835086906,-0.7185848708258172,0.4725762662912121,,cluster_firm,firm clustered,-0.0039047922665888246,0.0018116693914363878,0.01313083321473707
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Big Four,593,155,-27533040.138842836,-27.533040138842836,22993261.936974786,-1.1974395026817732,0.23180906279153568,,cluster_firm,firm clustered,-72728935.91867825,17662855.640992574,0.07989829128428305
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Non-Big Four,11936,2789,5682591.732813521,5.682591732813521,2230905.030422507,2.5472136443823903,0.010874951290656965,**,cluster_firm,firm clustered,1309518.4829545412,10055664.982672501,0.04706317502739599
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Big Four,593,155,-0.002740674276511705,,0.0073756569048876305,-0.37158375340039757,0.7103897255850138,,cluster_firm,firm clustered,-0.017238374589535817,0.011757026036512408,0.019018949427867526
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Non-Big Four,11936,2789,-0.002003879278458979,,0.0011873868632329353,-1.6876380735786096,0.0915148823864258,*,cluster_firm,firm clustered,-0.004331423328083768,0.00032366477116580914,0.0002320726465344647
reproduced_sensitivity,Fixed age bands,AEM_w,MidAge,Full sample,12529,2944,35959838.54521637,35.959838545216364,26628584.32152441,1.3504224674891678,0.17691245085574603,,cluster_firm,firm clustered,-16237831.434788935,88157508.52522168,0.049798244102865596
reproduced_sensitivity,Fixed age bands,AEM_w,OldAge,Full sample,12529,2944,79348939.98690878,79.34893998690877,33912464.80297388,2.33981636097269,0.019313676800543078,**,cluster_firm,firm clustered,12873320.231061392,145824559.74275616,0.049798244102865596
reproduced_sensitivity,Fixed age bands,REM_w,MidAge,Full sample,12529,2944,-0.021696002823835263,,0.010044154328152644,-2.1600626707839194,0.030792575340264916,**,cluster_firm,firm clustered,-0.041384674460252915,-0.002007331187417607,0.004874425156595974
